no,month,area,year,price,loc
354,2,전용면적 85㎡초과 102㎡이하,2019,5018,경기
355,2,전용면적 102㎡초과,2019,4945,경기
356,2,전체,2019,4068,부산
357,2,전용면적 60㎡이하,2019,3778,부산
358,2,전용면적 60㎡초과 85㎡이하,2019,4064,부산
359,2,전용면적 85㎡초과 102㎡이하,2019,4066,부산
360,2,전용면적 102㎡초과,2019,4293,부산
361,2,전체,2019,3988,대구
362,2,전용면적 60㎡이하,2019,3977,대구
363,2,전용면적 60㎡초과 85㎡이하,2019,3971,대구
364,2,전용면적 85㎡초과 102㎡이하,2019,4019,대구
365,2,전용면적 102㎡초과,2019,4067,대구
366,2,전체,2019,3311,광주
367,2,전용면적 60㎡이하,2019,3207,광주
368,2,전용면적 60㎡초과 85㎡이하,2019,3313,광주
369,2,전용면적 85㎡초과 102㎡이하,2019,,광주
370,2,전용면적 102㎡초과,2019,,광주
371,2,전체,2019,3689,대전
372,2,전용면적 60㎡이하,2019,,대전
373,2,전용면적 60㎡초과 85㎡이하,2019,3677,대전
374,2,전용면적 85㎡초과 102㎡이하,2019,,대전
375,2,전용면적 102㎡초과,2019,4877,대전
376,2,전체,2019,,울산
377,2,전용면적 60㎡이하,2019,,울산
378,2,전용면적 60㎡초과 85㎡이하,2019,,울산
379,2,전용면적 85㎡초과 102㎡이하,2019,,울산
380,2,전용면적 102㎡초과,2019,,울산
381,2,전체,2019,3055,세종
382,2,전용면적 60㎡이하,2019,3064,세종
383,2,전용면적 60㎡초과 85㎡이하,2019,3063,세종
384,2,전용면적 85㎡초과 102㎡이하,2019,3155,세종
385,2,전용면적 102㎡초과,2019,2990,세종
386,2,전체,2019,2359,강원
387,2,전용면적 60㎡이하,2019,2525,강원
388,2,전용면적 60㎡초과 85㎡이하,2019,2347,강원
389,2,전용면적 85㎡초과 102㎡이하,2019,3068,강원
390,2,전용면적 102㎡초과,2019,2319,강원
391,2,전체,2019,2288,충북
392,2,전용면적 60㎡이하,2019,2158,충북
393,2,전용면적 60㎡초과 85㎡이하,2019,2298,충북
394,2,전용면적 85㎡초과 102㎡이하,2019,2725,충북
395,2,전용면적 102㎡초과,2019,2689,충북
396,2,전체,2019,2571,충남
397,2,전용면적 60㎡이하,2019,2487,충남
398,2,전용면적 60㎡초과 85㎡이하,2019,2550,충남
399,2,전용면적 85㎡초과 102㎡이하,2019,2657,충남
400,2,전용면적 102㎡초과,2019,2729,충남
401,2,전체,2019,2386,전북
402,2,전용면적 60㎡이하,2019,2666,전북
403,2,전용면적 60㎡초과 85㎡이하,2019,2372,전북
404,2,전용면적 85㎡초과 102㎡이하,2019,3052,전북
405,2,전용면적 102㎡초과,2019,2753,전북
406,2,전체,2019,2412,전남
407,2,전용면적 60㎡이하,2019,2274,전남
408,2,전용면적 60㎡초과 85㎡이하,2019,2404,전남
409,2,전용면적 85㎡초과 102㎡이하,2019,2337,전남
410,2,전용면적 102㎡초과,2019,2887,전남
411,2,전체,2019,2652,경북
412,2,전용면적 60㎡이하,2019,2486,경북
413,2,전용면적 60㎡초과 85㎡이하,2019,2636,경북
414,2,전용면적 85㎡초과 102㎡이하,2019,2667,경북
415,2,전용면적 102㎡초과,2019,2989,경북
416,2,전체,2019,2932,경남
417,2,전용면적 60㎡이하,2019,2887,경남
418,2,전용면적 60㎡초과 85㎡이하,2019,2909,경남
419,2,전용면적 85㎡초과 102㎡이하,2019,3173,경남
420,2,전용면적 102㎡초과,2019,3703,경남
421,2,전체,2019,3424,제주
422,2,전용면적 60㎡이하,2019,3804,제주
423,2,전용면적 60㎡초과 85㎡이하,2019,3504,제주
424,2,전용면적 85㎡초과 102㎡이하,2019,3226,제주
425,2,전용면적 102㎡초과,2019,2952,제주
426,3,전체,2019,7772,서울
427,3,전용면적 60㎡이하,2019,7750,서울
428,3,전용면적 60㎡초과 85㎡이하,2019,8191,서울
429,3,전용면적 85㎡초과 102㎡이하,2019,6842,서울
430,3,전용면적 102㎡초과,2019,7206,서울
431,3,전체,2019,3682,인천
432,3,전용면적 60㎡이하,2019,3415,인천
433,3,전용면적 60㎡초과 85㎡이하,2019,3907,인천
434,3,전용면적 85㎡초과 102㎡이하,2019,3773,인천
435,3,전용면적 102㎡초과,2019,4808,인천
436,3,전체,2019,4369,경기
437,3,전용면적 60㎡이하,2019,4200,경기
438,3,전용면적 60㎡초과 85㎡이하,2019,4376,경기
439,3,전용면적 85㎡초과 102㎡이하,2019,4621,경기
440,3,전용면적 102㎡초과,2019,5130,경기
441,3,전체,2019,4068,부산
442,3,전용면적 60㎡이하,2019,3857,부산
443,3,전용면적 60㎡초과 85㎡이하,2019,4059,부산
444,3,전용면적 85㎡초과 102㎡이하,2019,4066,부산
445,3,전용면적 102㎡초과,2019,4344,부산
446,3,전체,2019,3975,대구
447,3,전용면적 60㎡이하,2019,3977,대구
448,3,전용면적 60㎡초과 85㎡이하,2019,3956,대구
449,3,전용면적 85㎡초과 102㎡이하,2019,4019,대구
450,3,전용면적 102㎡초과,2019,4067,대구
451,3,전체,2019,3311,광주
452,3,전용면적 60㎡이하,2019,3207,광주
453,3,전용면적 60㎡초과 85㎡이하,2019,3313,광주
454,3,전용면적 85㎡초과 102㎡이하,2019,,광주
455,3,전용면적 102㎡초과,2019,,광주
456,3,전체,2019,3610,대전
457,3,전용면적 60㎡이하,2019,,대전
458,3,전용면적 60㎡초과 85㎡이하,2019,3603,대전
459,3,전용면적 85㎡초과 102㎡이하,2019,,대전
460,3,전용면적 102㎡초과,2019,4505,대전
461,3,전체,2019,,울산
462,3,전용면적 60㎡이하,2019,,울산
