bno,bname,bstart,bend,bregister
183,화성동탄(2)지구 워터프론트콤플렉스 내 주상복합용지 공급공고,2012-10-04,2012-11-01,2012-10-04
184,광교택지개발지구 연립주택용지(무이자) 및 블록형 단독주택용지 공급공고,2012-08-28,2012-12-31,2012-08-28
185,안성공도 및 기흥구갈 택지개발사업지구 연립주택ㆍ준주거ㆍ주차장 용지 공급공고,2012-07-13,2012-08-02,2012-07-13
186,"광교택지개발지구 용지공급공고 유치원, 근생, 도시지원용지 공급 및 수의계약 개시 공고",2012-04-13,2012-04-24,2012-04-17
187,고양관광문화단지 숙박시설용지 공급 공고,2012-04-17,2012-07-16,2012-04-17
188,고양관광문화단지 생활대책용지 공급공고,2012-02-27,2012-04-28,2012-02-27
189,화성동탄(2)지구 워터프론트콤플렉스 내 공동주택용지 공급공고,2011-11-29,2011-12-30,2011-11-29
190,"광교 업무복합, 공동주택, 중심상업용지 등 재공급 공고",2011-10-27,2011-11-11,2011-10-27
191,광교 물류유통시설용지 등 공급 공고,2011-09-30,2011-10-11,2011-09-30
192,광교지구 업무시설용지 재공급 공고,2011-08-01,2011-08-02,2011-07-21
193,판교택지개발지구 내 도시지원시설 주차장용지 공급공고,2011-07-06,2011-07-18,2011-07-06
194,"광교 업무복합 도시지원시설, 업무시설, 단독주택용지 등 공급 공고 ",2011-06-24,2011-07-06,2011-06-24
195,"광교신도시 공동주택, 도시지원시설, 일반용지 공급공고",2011-06-17,2011-06-27,2011-06-17
196,광교지구 중심상업 및 도시지원시설용지 공급공고,2011-06-10,2011-06-21,2011-06-10
197,안성공도 미매각용지 수의계약 공급공고,2011-05-30,2011-12-31,2011-05-30
198,광교신도시 중심상업용지 등 공급 정정공고(2차),2011-04-11,2011-04-12,2011-04-11
199,광교신도시 중심상업용지 등 공급 정정공고 ,2011-04-06,2011-04-12,2011-04-06
200,광교신도시 중심상업용지 등 공급공고,2011-03-31,2011-04-12,2011-03-31
